time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 1.000000, 2.521000, 0.410297, 0.000000, 0.000000,0.197924,0.212373,0.000000,0.000000,0.006104,0.028878,-0.005435,0.041176,0.000000
1, 1000, 2.000000, 2.521000, 0.820594, 0.000000, 0.692000,0.395849,0.424746,0.000000,0.000000,0.006104,0.028878,-0.005435,0.041176,0.000000
2, 308, 3.000000, 2.500000, 3.497475, 0.000000, 0.000000,1.685089,1.812385,0.000000,0.000000,0.295837,0.324484,0.256679,0.368777,0.000000
3, 308, 4.000000, 2.500000, 3.497475, 0.000000, 0.000000,1.685089,1.812385,0.000000,0.000000,0.295837,0.324484,0.256679,0.368777,0.000000
4, 443, 3.781038, 2.496614, 2.734267, 0.000000, 0.000000,1.311357,1.422909,0.000000,0.000000,0.220779,0.415729,0.243481,0.400416,0.000000
5, 607, 3.759473, 2.484349, 2.369910, 0.000000, 0.080725,1.132730,1.237181,0.000000,0.000000,0.204787,0.452046,0.265808,0.399009,0.000000
6, 711, 4.071730, 2.489451, 2.339483, 0.000000, 0.518987,1.156735,1.182748,0.000000,0.000000,0.243281,0.440699,0.256796,0.435040,0.000000
7, 513, 2.202729, 2.495127, 1.628687, 0.000000, 0.120858,0.850165,0.778522,0.000000,0.000000,0.228072,0.497092,0.265470,0.468783,0.000000
8, 508, 2.980315, 2.498031, 1.963115, 0.000000, 0.125984,1.017563,0.945552,0.000000,0.000000,0.275484,0.509545,0.358599,0.434802,0.000000
9, 575, 3.410435, 2.499130, 2.074591, 0.000000, 0.043478,1.054649,1.019942,0.000000,0.000000,0.338454,0.521920,0.427968,0.440349,0.000000
10, 774, 3.468992, 2.501292, 1.974190, 0.000000, 0.178295,0.979718,0.994472,0.000000,0.000000,0.376994,0.486808,0.430743,0.440172,0.000000
11, 964, 3.052905, 2.504149, 1.879681, 0.000000, 0.185685,0.909803,0.969878,0.000000,0.000000,0.348192,0.531674,0.414202,0.474008,0.000000
12, 1089, 2.900826, 2.498623, 2.407417, 0.000000, 0.138659,1.159827,1.247590,0.000000,0.000000,0.358118,0.529661,0.432159,0.463720,0.000000
13, 1194, 3.011725, 2.512563, 2.597253, 0.000000, 0.151591,1.181837,1.415416,0.000000,0.000000,0.307274,0.598520,0.463799,0.451324,0.000000
14, 1432, 2.884777, 2.505587, 2.389990, 0.000000, 0.085196,1.095968,1.294022,0.000000,0.000000,0.304588,0.654443,0.478697,0.490826,0.000000
15, 2077, 2.794415, 2.503611, 1.959586, 0.000000, 0.128551,0.898410,1.061175,0.000000,0.000000,0.278451,0.720182,0.462293,0.548563,0.000000
16, 2844, 2.714135, 2.501055, 1.735412, 0.000000, 0.201125,0.811808,0.923604,0.000000,0.000000,0.277062,0.739147,0.462287,0.566598,0.000000
17, 3346, 2.743873, 2.493126, 1.601770, 0.000000, 0.244770,0.735209,0.866561,0.000000,0.000000,0.249126,0.761382,0.438406,0.585552,0.000000
18, 3576, 2.734620, 2.492170, 1.483795, 0.000000, 0.251119,0.691744,0.792052,0.000000,0.000000,0.286058,0.740278,0.452791,0.586365,0.000000
19, 3652, 2.871030, 2.500000, 1.508876, 0.000000, 0.232475,0.715218,0.793657,0.000000,0.000000,0.340716,0.719224,0.475424,0.596633,0.000000
20, 3955, 3.011884, 2.492541, 1.533724, 0.000000, 0.218963,0.727303,0.806422,0.000000,0.000000,0.369983,0.697674,0.472257,0.607070,0.000000
21, 4485, 3.012263, 2.488740, 1.502660, 0.000000, 0.249721,0.693854,0.808807,0.000000,0.000000,0.393862,0.707278,0.475562,0.637464,0.000000
22, 4926, 2.939708, 2.495737, 1.492738, 0.000000, 0.291311,0.683720,0.809018,0.000000,0.000000,0.411533,0.732851,0.507833,0.648699,0.000000
23, 5117, 2.797147, 2.498534, 1.475438, 0.000000, 0.286887,0.674125,0.801313,0.000000,0.000000,0.409430,0.754084,0.526169,0.649789,0.000000
24, 5226, 2.788557, 2.492729, 2.310213, 0.000000, 0.138729,1.064081,1.246132,0.000000,0.000000,0.413279,0.768676,0.549969,0.644511,0.000000
25, 6240, 2.809776, 2.498077, 2.321883, 0.000000, 0.117788,1.073503,1.248381,0.000000,0.000000,0.399250,0.793363,0.538648,0.667193,0.000000
26, 7777, 2.847499, 2.497107, 2.088691, 0.000000, 0.149544,0.951335,1.137356,0.000000,0.000000,0.382318,0.835871,0.555096,0.677131,0.000000
27, 10127, 2.771897, 2.496791, 1.770798, 0.000000, 0.171127,0.819252,0.951545,0.000000,0.000000,0.404645,0.842554,0.577138,0.684030,0.000000
28, 12849, 2.742159, 2.500039, 1.500025, 0.000000, 0.225076,0.693613,0.806412,0.000000,0.000000,0.408435,0.849579,0.578913,0.693223,0.000000
29, 14803, 2.820915, 2.494697, 1.315566, 0.000000, 0.315274,0.608814,0.706752,0.000000,0.000000,0.420637,0.840212,0.569584,0.705284,0.000000
30, 15153, 2.721705, 2.488616, 1.158558, 0.000000, 0.336303,0.536431,0.622127,0.000000,0.000000,0.417378,0.837990,0.561291,0.708133,0.000000
31, 14534, 2.730081, 2.494977, 1.114850, 0.000000, 0.353929,0.515631,0.599219,0.000000,0.000000,0.404674,0.863645,0.550976,0.732117,0.000000
32, 13577, 2.814539, 2.495397, 1.148522, 0.000000, 0.350372,0.528895,0.619627,0.000000,0.000000,0.420856,0.881651,0.579133,0.738273,0.000000
33, 12945, 2.837312, 2.488451, 1.164086, 0.000000, 0.356895,0.541030,0.623056,0.000000,0.000000,0.439164,0.889120,0.617357,0.725586,0.000000
34, 12310, 2.778148, 2.491308, 1.158734, 0.000000, 0.367994,0.538939,0.619795,0.000000,0.000000,0.441314,0.896069,0.629949,0.722119,0.000000
35, 11405, 2.741692, 2.496975, 1.173084, 0.000000, 0.370101,0.545403,0.627681,0.000000,0.000000,0.457997,0.884976,0.624388,0.733086,0.000000
36, 10546, 2.723118, 2.496397, 2.168416, 0.000000, 0.161862,1.010715,1.157701,0.000000,0.000000,0.476459,0.877548,0.619599,0.748805,0.000000
37, 12119, 2.747999, 2.503342, 2.261734, 0.000000, 0.132354,1.048912,1.212822,0.000000,0.000000,0.480835,0.890491,0.631662,0.754238,0.000000
38, 14261, 2.863824, 2.501297, 2.082717, 0.000000, 0.157142,0.967337,1.115380,0.000000,0.000000,0.477421,0.908082,0.632885,0.767594,0.000000
39, 18659, 2.764510, 2.500348, 1.747484, 0.000000, 0.162442,0.811379,0.936105,0.000000,0.000000,0.469431,0.912296,0.635713,0.761049,0.000000
40, 24332, 2.737260, 2.505137, 1.471935, 0.000000, 0.221108,0.685871,0.786064,0.000000,0.000000,0.467585,0.913808,0.627479,0.769078,0.000000
41, 28755, 2.821179, 2.505964, 1.287314, 0.000000, 0.329334,0.598108,0.689205,0.000000,0.000000,0.465984,0.911382,0.614218,0.778404,0.000000
42, 29177, 2.661343, 2.499572, 1.103417, 0.000000, 0.365322,0.512280,0.591137,0.000000,0.000000,0.472584,0.913892,0.619889,0.781844,0.000000
43, 26705, 2.648643, 2.498334, 1.048715, 0.000000, 0.384348,0.487775,0.560941,0.000000,0.000000,0.477699,0.923444,0.638712,0.777707,0.000000
44, 23740, 2.751222, 2.502022, 1.080509, 0.000000, 0.361457,0.504447,0.576061,0.000000,0.000000,0.489532,0.924839,0.656272,0.773220,0.000000
45, 22209, 2.860822, 2.503940, 1.091747, 0.000000, 0.378945,0.510305,0.581441,0.000000,0.000000,0.510582,0.925069,0.673953,0.776647,0.000000
46, 20935, 2.764223, 2.498925, 1.017424, 0.000000, 0.397564,0.477306,0.540117,0.000000,0.000000,0.535864,0.921071,0.680827,0.790909,0.000000
47, 18908, 2.657658, 2.494024, 0.952570, 0.000000, 0.424582,0.443323,0.509247,0.000000,0.000000,0.552560,0.911348,0.682807,0.795665,0.000000
48, 16220, 2.613440, 2.494760, 2.021144, 0.000000, 0.199137,0.953600,1.067544,0.000000,0.000000,0.587298,0.894921,0.683014,0.813411,0.000000
49, 17419, 2.674034, 2.496527, 2.166192, 0.000000, 0.147368,1.037041,1.129150,0.000000,0.000000,0.625588,0.873085,0.697966,0.814262,0.000000
50, 19183, 2.907418, 2.495856, 2.056224, 0.000000, 0.168900,0.989742,1.066482,0.000000,0.000000,0.635540,0.871525,0.702560,0.817981,0.000000
51, 24879, 2.813095, 2.493830, 1.750980, 0.000000, 0.149082,0.840656,0.910324,0.000000,0.000000,0.631585,0.885804,0.700086,0.831143,0.000000
52, 33455, 2.765177, 2.494754, 1.448124, 0.000000, 0.209894,0.698162,0.749963,0.000000,0.000000,0.636171,0.889078,0.701430,0.837728,0.000000
53, 40251, 2.860078, 2.500261, 1.261609, 0.000000, 0.352215,0.609193,0.652416,0.000000,0.000000,0.636214,0.890096,0.704851,0.835353,0.000000
54, 39939, 2.619144, 2.504219, 1.051964, 0.000000, 0.388918,0.507388,0.544576,0.000000,0.000000,0.653731,0.880787,0.711982,0.836145,0.000000
55, 35471, 2.545488, 2.505399, 0.968035, 0.000000, 0.403654,0.463722,0.504313,0.000000,0.000000,0.657089,0.885127,0.714216,0.841691,0.000000
56, 30556, 2.686248, 2.505269, 1.006805, 0.000000, 0.372955,0.478427,0.528378,0.000000,0.000000,0.643046,0.907547,0.716048,0.848735,0.000000
57, 28170, 2.869507, 2.503372, 1.033873, 0.000000, 0.402449,0.489646,0.544227,0.000000,0.000000,0.627784,0.933499,0.720104,0.855925,0.000000
58, 26175, 2.719007, 2.504565, 0.913197, 0.000000, 0.415549,0.430597,0.482600,0.000000,0.000000,0.605531,0.968378,0.734167,0.855138,0.000000
59, 22851, 2.609383, 2.504617, 0.808443, 0.000000, 0.471270,0.377891,0.430552,0.000000,0.000000,0.590655,1.006650,0.760778,0.852518,0.000000
60, 17666, 2.581796, 2.502604, 1.955896, 0.000000, 0.217876,0.907192,1.048705,0.000000,0.000000,0.594615,1.035643,0.798918,0.847593,0.000000
61, 18113, 2.658864, 2.503947, 2.181248, 0.000000, 0.149506,1.026934,1.154314,0.000000,0.000000,0.609962,1.048191,0.816950,0.857567,0.000000
62, 19077, 2.980081, 2.500550, 2.158612, 0.000000, 0.158882,1.011576,1.147036,0.000000,0.000000,0.637073,1.049566,0.825489,0.877477,0.000000
63, 25381, 2.863362, 2.493085, 1.831606, 0.000000, 0.122572,0.861518,0.970088,0.000000,0.000000,0.661521,1.023590,0.811451,0.889552,0.000000
64, 35476, 2.780020, 2.497322, 1.481028, 0.000000, 0.199431,0.699611,0.781418,0.000000,0.000000,0.654446,1.024141,0.811259,0.883229,0.000000
65, 43242, 2.883909, 2.498404, 1.311496, 0.000000, 0.359535,0.625748,0.685748,0.000000,0.000000,0.653091,1.027627,0.809499,0.887222,0.000000
66, 42705, 2.574218, 2.497225, 1.077518, 0.000000, 0.380237,0.522764,0.554754,0.000000,0.000000,0.667022,1.028627,0.815782,0.895837,0.000000
67, 38234, 2.519747, 2.497541, 0.987758, 0.000000, 0.400010,0.488640,0.499118,0.000000,0.000000,0.697592,1.020417,0.817418,0.916378,0.000000
68, 33298, 2.679741, 2.500030, 1.033256, 0.000000, 0.362064,0.517083,0.516172,0.000000,0.000000,0.729061,1.001689,0.823769,0.922283,0.000000
69, 32001, 2.843942, 2.499391, 1.026334, 0.000000, 0.389207,0.519969,0.506365,0.000000,0.000000,0.745089,0.984987,0.825381,0.919595,0.000000
70, 30751, 2.684140, 2.501545, 0.865569, 0.000000, 0.424507,0.446445,0.419124,0.000000,0.000000,0.757587,0.974875,0.827197,0.919916,0.000000
71, 26570, 2.571396, 2.504140, 0.745714, 0.000000, 0.494430,0.396210,0.349504,0.000000,0.000000,0.786790,0.957843,0.840629,0.918126,0.000000
72, 19939, 2.488691, 2.504338, 1.907462, 0.000000, 0.227143,0.975358,0.932104,0.000000,0.000000,0.823670,0.941872,0.861492,0.917592,0.000000
73, 19764, 2.627403, 2.504453, 2.191903, 0.000000, 0.154169,1.116327,1.075576,0.000000,0.000000,0.816940,0.958730,0.867846,0.921688,0.000000
74, 20303, 3.027730, 2.501551, 2.215477, 0.000000, 0.156282,1.132647,1.082830,0.000000,0.000000,0.833009,0.958009,0.868272,0.936606,0.000000
75, 26991, 2.900671, 2.501797, 1.864654, 0.000000, 0.115298,0.945284,0.919370,0.000000,0.000000,0.830229,0.967444,0.870247,0.941485,0.000000
76, 38191, 2.803121, 2.501689, 1.482521, 0.000000, 0.196434,0.742476,0.740045,0.000000,0.000000,0.817291,0.983397,0.873107,0.941975,0.000000
77, 46790, 2.909489, 2.498931, 1.293636, 0.000000, 0.372430,0.642622,0.651014,0.000000,0.000000,0.814375,0.990864,0.872614,0.947200,0.000000
78, 45652, 2.558815, 2.497415, 1.039046, 0.000000, 0.399260,0.514860,0.524186,0.000000,0.000000,0.824885,0.990595,0.876633,0.953381,0.000000
79, 39862, 2.465080, 2.500702, 0.936137, 0.000000, 0.416035,0.459212,0.476925,0.000000,0.000000,0.835819,0.986787,0.871920,0.965194,0.000000
80, 33543, 2.650568, 2.501386, 0.996882, 0.000000, 0.375697,0.483035,0.513847,0.000000,0.000000,0.829206,1.006547,0.867301,0.983478,0.000000
81, 31211, 2.862452, 2.500304, 1.020482, 0.000000, 0.401589,0.490811,0.529671,0.000000,0.000000,0.792752,1.049544,0.873204,0.985041,0.000000
82, 29463, 2.689305, 2.498388, 0.851733, 0.000000, 0.429013,0.410537,0.441196,0.000000,0.000000,0.764794,1.085411,0.889682,0.977110,0.000000
83, 25325, 2.555972, 2.496584, 0.721720, 0.000000, 0.496821,0.352197,0.369523,0.000000,0.000000,0.749629,1.111144,0.894366,0.983538,0.000000
84, 18824, 2.500000, 2.504781, 1.927153, 0.000000, 0.234700,0.925859,1.001294,0.000000,0.000000,0.760061,1.125044,0.905720,0.996731,0.000000
85, 18628, 2.609083, 2.501396, 2.238624, 0.000000, 0.152673,1.085222,1.153402,0.000000,0.000000,0.787788,1.120969,0.910738,1.015240,0.000000
86, 18924, 3.016698, 2.500951, 2.287059, 0.000000, 0.151976,1.113494,1.173565,0.000000,0.000000,0.810860,1.120354,0.924011,1.024283,0.000000
87, 25538, 2.886640, 2.503407, 1.924100, 0.000000, 0.102161,0.936673,0.987427,0.000000,0.000000,0.810341,1.114801,0.927718,1.014328,0.000000
88, 36823, 2.786954, 2.503816, 1.524047, 0.000000, 0.191239,0.745502,0.778545,0.000000,0.000000,0.805192,1.114839,0.929774,1.007133,0.000000
89, 45594, 2.890380, 2.500197, 1.331298, 0.000000, 0.364105,0.650940,0.680358,0.000000,0.000000,0.802386,1.120587,0.929928,1.010054,0.000000
90, 45259, 2.544709, 2.498950, 1.057562, 0.000000, 0.388807,0.524991,0.532570,0.000000,0.000000,0.814210,1.119057,0.929450,1.020807,0.000000
91, 39958, 2.477601, 2.497447, 0.956039, 0.000000, 0.418189,0.479949,0.476090,0.000000,0.000000,0.826717,1.121027,0.938479,1.026212,0.000000
92, 33750, 2.650222, 2.497600, 1.020993, 0.000000, 0.366281,0.519109,0.501884,0.000000,0.000000,0.859790,1.106282,0.956329,1.026169,0.000000
93, 32140, 2.847106, 2.496173, 1.034984, 0.000000, 0.393777,0.525824,0.509160,0.000000,0.000000,0.870426,1.097512,0.964370,1.019704,0.000000
94, 30717, 2.679982, 2.494580, 0.867913, 0.000000, 0.427939,0.448137,0.419776,0.000000,0.000000,0.881723,1.089141,0.979130,1.007513,0.000000
95, 26627, 2.535885, 2.493334, 0.734434, 0.000000, 0.492170,0.386067,0.348366,0.000000,0.000000,0.910324,1.058729,0.983915,1.000166,0.000000
96, 20074, 2.459500, 2.498705, 1.932888, 0.000000, 0.226960,0.998747,0.934141,0.000000,0.000000,0.943766,1.027831,0.981420,1.004531,0.000000
97, 19981, 2.631300, 2.498323, 2.233880, 0.000000, 0.160202,1.154471,1.079409,0.000000,0.000000,0.970956,1.021275,0.987567,1.018820,0.000000
98, 20496, 3.007660, 2.497268, 2.244619, 0.000000, 0.158226,1.164302,1.080317,0.000000,0.000000,0.985345,1.020772,0.987850,1.032424,0.000000
99, 27747, 2.850254, 2.498324, 1.874019, 0.000000, 0.117130,0.969464,0.904555,0.000000,0.000000,0.975647,1.045229,0.997569,1.037925,0.000000
100, 39592, 2.753283, 2.499646, 1.478377, 0.000000, 0.200520,0.757962,0.720416,0.000000,0.000000,0.955923,1.077857,1.008408,1.040626,0.000000
101, 48511, 2.865041, 2.500443, 1.291019, 0.000000, 0.373503,0.656925,0.634094,0.000000,0.000000,0.953639,1.087864,1.011216,1.045745,0.000000
102, 47560, 2.526241, 2.500484, 1.025604, 0.000000, 0.398066,0.518472,0.507132,0.000000,0.000000,0.959771,1.083374,1.011280,1.047222,0.000000
103, 41521, 2.457190, 2.497580, 0.914347, 0.000000, 0.422389,0.463279,0.451068,0.000000,0.000000,0.973205,1.079913,1.018102,1.050226,0.000000
104, 34900, 2.634069, 2.499140, 0.977201, 0.000000, 0.377450,0.488032,0.489169,0.000000,0.000000,0.985761,1.088960,1.025767,1.064306,0.000000
105, 32545, 2.846151, 2.499770, 1.000274, 0.000000, 0.409464,0.493366,0.506907,0.000000,0.000000,0.981902,1.098691,1.031830,1.064275,0.000000
106, 30581, 2.652856, 2.497073, 0.823183, 0.000000, 0.434551,0.400910,0.422273,0.000000,0.000000,0.967888,1.109931,1.035516,1.058025,0.000000
107, 26024, 2.518176, 2.498194, 0.687509, 0.000000, 0.508953,0.329587,0.357922,0.000000,0.000000,0.962489,1.119146,1.035914,1.061654,0.000000
108, 18841, 2.466642, 2.497160, 1.942995, 0.259487, 0.559312,0.941589,1.001406,0.127442,0.132045,0.952358,1.131221,1.034898,1.064904,0.000000
109, 12483, 2.619482, 2.498999, 2.112580, 0.108154, 0.311143,0.400036,1.712544,0.053280,0.054874,0.261503,1.778352,1.027549,1.043337,0.000000
110, 11297, 3.029034, 2.496769, 2.191246, 0.063148, 0.257059,0.236485,1.954761,0.030952,0.032196,-0.032702,2.054814,1.007203,1.052465,0.000000
111, 14103, 2.851805, 2.500745, 1.862136, 0.039447, 0.178047,0.091067,1.771069,0.019261,0.020186,-0.338094,2.333794,1.004919,1.034703,0.000000
112, 19032, 2.752364, 2.497478, 1.505065, 0.021189, 0.225462,0.016496,1.488569,0.010714,0.010475,-0.510349,2.494186,1.019933,1.011303,0.000000
113, 22880, 2.890516, 2.497640, 1.337446, 0.016262, 0.391827,0.010539,1.326907,0.008250,0.008012,-0.543546,2.529568,1.033565,1.000511,0.000000
114, 22135, 2.518997, 2.497628, 1.070171, 0.019573, 0.416354,0.011580,1.058591,0.009927,0.009645,-0.551654,2.542120,1.042982,0.995720,0.000000
115, 18917, 2.471216, 2.497066, 0.998921, 0.015277, 0.432521,0.008551,0.990370,0.008057,0.007220,-0.560375,2.557703,1.054211,0.991588,0.000000
116, 15936, 2.636421, 2.499059, 1.059687, 0.015689, 0.376130,0.005754,1.053932,0.008124,0.007566,-0.569600,2.576238,1.067996,0.987389,0.000000
117, 15152, 2.850845, 2.500330, 1.089348, 0.014107, 0.412355,0.005567,1.083781,0.007103,0.007004,-0.586756,2.608461,1.083135,0.987895,0.000000
118, 14505, 2.648466, 2.497966, 0.912410, 0.017782, 0.442123,0.008515,0.903896,0.008784,0.008998,-0.588300,2.612610,1.089626,0.984033,0.000000
119, 12486, 2.497197, 2.497197, 0.776058, 0.020288, 0.509691,0.008177,0.767881,0.009767,0.010521,-0.597620,2.626937,1.097481,0.981427,0.000000
120, 9184, 2.471581, 2.496625, 2.102379, 0.015641, 0.238894,0.006894,2.095485,0.007649,0.007992,-0.599483,2.628341,1.107977,0.970385,0.000000
121, 9161, 2.603428, 2.499072, 2.337550, 0.012111, 0.158825,0.006402,2.331148,0.006292,0.005818,-0.609467,2.639807,1.120170,0.959797,0.000000
122, 9470, 3.014995, 2.498205, 2.323403, 0.007481, 0.166209,0.003612,2.319791,0.003758,0.003723,-0.615298,2.646366,1.129016,0.951728,0.000000
123, 13043, 2.827187, 2.499042, 1.908504, 0.012357, 0.133788,0.004188,1.904316,0.006513,0.005844,-0.636341,2.676319,1.138048,0.952196,0.000000
124, 18569, 2.726910, 2.499596, 1.520102, 0.013163, 0.223922,0.007024,1.513078,0.006675,0.006488,-0.649928,2.692293,1.138489,0.954503,0.000000
125, 22394, 2.843842, 2.500447, 1.340954, 0.015460, 0.392382,0.006425,1.334529,0.007818,0.007642,-0.660268,2.693946,1.121799,0.962727,0.000000
126, 21656, 2.505126, 2.497460, 1.072663, 0.018876, 0.414342,0.007652,1.065011,0.009848,0.009029,-0.671426,2.699445,1.114177,0.964896,0.000000
127, 18537, 2.463451, 2.494093, 1.002448, 0.013454, 0.432594,0.005519,0.996929,0.006756,0.006697,-0.675101,2.706615,1.109455,0.973334,0.000000
128, 15640, 2.639514, 2.497954, 1.080755, 0.011717, 0.368862,0.004212,1.076543,0.006176,0.005541,-0.665720,2.712313,1.123530,0.974324,0.000000
129, 15177, 2.823615, 2.499901, 1.089333, 0.013271, 0.410753,0.005656,1.083677,0.006373,0.006898,-0.680066,2.742172,1.125589,0.988453,0.000000
130, 14434, 2.636414, 2.500554, 0.928792, 0.018181, 0.449979,0.006885,0.921907,0.009202,0.008979,-0.703875,2.762992,1.119606,0.991987,0.000000
131, 12383, 2.481951, 2.501171, 0.794236, 0.017134, 0.498910,0.006163,0.788073,0.008885,0.008249,-0.703145,2.752956,1.083256,1.019207,0.000000
132, 9182, 2.451862, 2.498257, 2.137086, 0.016209, 0.235352,0.004817,2.132269,0.008052,0.008157,-0.684515,2.734953,1.050432,1.052623,0.000000
133, 9130, 2.656298, 2.499452, 2.386328, 0.010318, 0.161336,0.004100,2.382228,0.005055,0.005262,-0.688846,2.739598,1.028602,1.075122,0.000000
134, 9708, 2.973115, 2.500206, 2.301853, 0.009567, 0.167388,0.003659,2.298195,0.005303,0.004265,-0.705371,2.752713,1.026715,1.073916,0.000000
135, 13493, 2.783814, 2.503372, 1.883847, 0.011412, 0.144593,0.004336,1.879511,0.006165,0.005247,-0.730219,2.790631,1.039357,1.075080,0.000000
136, 18997, 2.698005, 2.501816, 1.492066, 0.013787, 0.233089,0.004494,1.487572,0.006798,0.006989,-0.740388,2.801142,1.044153,1.070811,0.000000
137, 22618, 2.825051, 2.501194, 1.329454, 0.014779, 0.402113,0.004293,1.325160,0.007469,0.007310,-0.736085,2.796844,1.044461,1.070406,0.000000
138, 21534, 2.484025, 2.499025, 1.087104, 0.017387, 0.414786,0.005693,1.081411,0.008934,0.008453,-0.740397,2.798619,1.038208,1.074232,0.000000
139, 18467, 2.453782, 2.500569, 1.026730, 0.012330, 0.424108,0.003910,1.022820,0.006208,0.006122,-0.738508,2.798053,1.039872,1.073860,0.000000
140, 15725, 2.649793, 2.506518, 1.095746, 0.011982, 0.377043,0.004114,1.091632,0.005933,0.006049,-0.722588,2.794121,1.063823,1.061546,0.000000
141, 15068, 2.820547, 2.505442, 1.098015, 0.015181, 0.419896,0.004770,1.093246,0.007684,0.007497,-0.707329,2.796706,1.091263,1.051714,0.000000
142, 14238, 2.613569, 2.498174, 0.931250, 0.018692, 0.447043,0.005492,0.925757,0.009330,0.009362,-0.716985,2.811150,1.103922,1.044034,0.000000
143, 12207, 2.498075, 2.501679, 0.811927, 0.021539, 0.510445,0.005554,0.806373,0.010807,0.010733,-0.716619,2.822171,1.132327,1.026955,0.000000
144, 9042, 2.456757, 2.503650, 2.194726, 0.019962, 0.247290,0.006014,2.188712,0.009917,0.010045,-0.701569,2.825020,1.148619,1.028460,0.000000
145, 8985, 2.577741, 2.502282, 2.408813, 0.013094, 0.162048,0.002731,2.406082,0.006736,0.006359,-0.689338,2.823738,1.151174,1.036808,0.000000
146, 9508, 2.929954, 2.506521, 2.334813, 0.012227, 0.167228,0.004585,2.330229,0.006339,0.005888,-0.686366,2.827945,1.141319,1.054059,0.000000
147, 13139, 2.790699, 2.500647, 1.916832, 0.016728, 0.147424,0.005819,1.911013,0.008642,0.008086,-0.699664,2.850218,1.161131,1.043513,0.000000
148, 18520, 2.711771, 2.497516, 1.528671, 0.015543, 0.232289,0.003979,1.524692,0.007684,0.007858,-0.730678,2.868030,1.144856,1.047165,0.000000
149, 22183, 2.824956, 2.501826, 1.335834, 0.014949, 0.396565,0.004400,1.331433,0.007472,0.007478,-0.739547,2.869183,1.142117,1.042238,0.000000
150, 21191, 2.504459, 2.506158, 1.086200, 0.016890, 0.423576,0.005119,1.081080,0.008513,0.008377,-0.741159,2.871401,1.128573,1.056593,0.000000
151, 18058, 2.442574, 2.502381, 1.020024, 0.014567, 0.432218,0.004374,1.015650,0.007475,0.007092,-0.746331,2.878074,1.112064,1.074946,0.000000
152, 15341, 2.607522, 2.498142, 1.095622, 0.013248, 0.376442,0.003818,1.091805,0.006597,0.006651,-0.744016,2.884246,1.102697,1.093057,0.000000
153, 14792, 2.778123, 2.499121, 1.098681, 0.012594, 0.411168,0.004118,1.094564,0.006849,0.005745,-0.747515,2.895221,1.111695,1.091691,0.000000
154, 14131, 2.595853, 2.497205, 0.927942, 0.015777, 0.447173,0.005121,0.922821,0.007979,0.007798,-0.763057,2.905594,1.106250,1.092260,0.000000
155, 12144, 2.455616, 2.496871, 0.795665, 0.016949, 0.500165,0.003548,0.792117,0.008703,0.008246,-0.773305,2.908043,1.106773,1.083980,0.000000
156, 9086, 2.464671, 2.499890, 2.186820, 0.015932, 0.242241,0.003511,2.183309,0.007767,0.008165,-0.781559,2.909951,1.096957,1.087600,0.000000
157, 9058, 2.621771, 2.500773, 2.405256, 0.010519, 0.171671,0.002542,2.402715,0.005114,0.005405,-0.782587,2.918727,1.091319,1.101258,0.000000
158, 9470, 2.948997, 2.502851, 2.342671, 0.009834, 0.176452,0.003320,2.339350,0.004394,0.005440,-0.798036,2.931031,1.067585,1.122396,0.000000
