time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_food2_consumed,mean_food3_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,mean_pesticide3_consumed,trait1_mean_value,trait2_mean_value,trait3_mean_value,trait4_mean_value,mean_f
0, 1000, 3.982000, 2.499000, 0.396658, 0.000000, 0.837000,0.179506,0.217152,0.000000,0.000000,0.000000,0.000000,1.998091,2.014113,0.001834,0.003205,0.000000
1, 301, 1.813953, 2.498339, 2.590001, 0.000000, 0.205980,0.578690,0.738026,0.000000,0.000000,0.000000,0.000000,1.962117,2.140079,0.041814,0.000534,0.000000
2, 415, 2.166265, 2.474699, 2.708252, 0.000000, 0.233735,0.417990,0.526348,0.000000,0.000000,0.000000,0.000000,2.021925,2.211915,0.067218,0.029188,0.000000
3, 540, 2.412963, 2.488889, 2.830218, 0.000000, 0.218519,0.398647,0.521056,0.000000,0.000000,0.000000,0.000000,2.020423,2.279216,0.034372,0.089154,0.000000
4, 756, 2.488095, 2.469577, 2.755487, 0.000000, 0.279101,0.411980,0.496357,0.000000,0.000000,0.000000,0.000000,2.073448,2.313421,0.099480,0.059904,0.000000
5, 964, 2.452282, 2.484440, 2.819527, 0.000000, 0.312241,0.405805,0.468015,0.000000,0.000000,0.000000,0.000000,2.083852,2.367128,0.105447,0.080354,0.000000
6, 1216, 2.342928, 2.477796, 2.804459, 0.000000, 0.264803,0.416371,0.507475,0.000000,0.000000,0.000000,0.000000,2.111342,2.417316,0.119775,0.097949,0.000000
7, 1622, 2.312577, 2.482737, 2.739034, 0.000000, 0.266954,0.409455,0.502347,0.000000,0.000000,0.000000,0.000000,2.095306,2.436552,0.121153,0.097958,0.000000
8, 2081, 2.383950, 2.494474, 2.805086, 0.000000, 0.265257,0.405647,0.522336,0.000000,0.000000,0.000000,0.000000,2.112832,2.468966,0.147748,0.091917,0.000000
9, 2661, 2.428035, 2.490417, 2.786283, 0.000000, 0.273957,0.400199,0.448998,0.000000,0.000000,0.000000,0.000000,2.134906,2.466850,0.153697,0.094119,0.000000
10, 3334, 2.454409, 2.496101, 2.752752, 0.000000, 0.274445,0.377584,0.438914,0.000000,0.000000,0.000000,0.000000,2.158266,2.466855,0.116565,0.140743,0.000000
11, 4161, 2.496515, 2.488104, 2.713126, 0.000000, 0.298005,0.329561,0.450778,0.000000,0.000000,0.000000,0.000000,2.188632,2.481258,0.124697,0.150961,0.000000
12, 5035, 2.500298, 2.498312, 2.718097, 0.000000, 0.294737,0.352084,0.430716,0.000000,0.000000,0.000000,0.000000,2.198550,2.509240,0.121978,0.169267,0.000000
13, 6054, 2.512719, 2.493393, 2.662393, 0.000000, 0.310704,0.335898,0.387603,0.000000,0.000000,0.000000,0.000000,2.218570,2.493370,0.118344,0.174531,0.000000
14, 7051, 2.568288, 2.497944, 2.619577, 0.000000, 0.323500,0.308053,0.363129,0.000000,0.000000,0.000000,0.000000,2.239456,2.483412,0.123940,0.173365,0.000000
15, 7985, 2.616656, 2.495679, 2.613089, 0.000000, 0.330244,0.316778,0.333057,0.000000,0.000000,0.000000,0.000000,2.234296,2.497615,0.131005,0.170054,0.000000
16, 8916, 2.649282, 2.491588, 2.554953, 0.000000, 0.350157,0.290346,0.294260,0.000000,0.000000,0.000000,0.000000,2.247948,2.499590,0.116566,0.190864,0.000000
17, 9755, 2.680779, 2.495746, 2.508950, 0.000000, 0.372732,0.281508,0.284584,0.000000,0.000000,0.000000,0.000000,2.283257,2.485681,0.119669,0.196457,0.000000
18, 10339, 2.686527, 2.500339, 2.784217, 0.000000, 0.258826,0.418580,0.425068,0.000000,0.000000,0.000000,0.000000,2.313583,2.480128,0.122608,0.203616,0.000000
19, 12462, 2.587145, 2.497352, 2.646683, 0.000000, 0.298909,0.373532,0.366048,0.000000,0.000000,0.000000,0.000000,2.396121,2.548631,0.148961,0.239266,0.000000
20, 14307, 2.577410, 2.488922, 2.500278, 0.000000, 0.315160,0.280523,0.295028,0.000000,0.000000,0.000000,0.000000,2.470735,2.613057,0.164664,0.280634,0.000000
21, 15884, 2.642848, 2.496537, 2.431373, 0.000000, 0.297595,0.288982,0.286035,0.000000,0.000000,0.000000,0.000000,2.524030,2.684590,0.178290,0.318302,0.000000
22, 17613, 2.760518, 2.496792, 2.342507, 0.000000, 0.313518,0.266770,0.270939,0.000000,0.000000,0.000000,0.000000,2.573067,2.738517,0.193019,0.345863,0.000000
23, 18798, 2.877966, 2.497606, 2.213377, 0.000000, 0.382434,0.220955,0.234973,0.000000,0.000000,0.000000,0.000000,2.629737,2.789311,0.206089,0.376911,0.000000
24, 18065, 2.855522, 2.499474, 2.193180, 0.000000, 0.375976,0.202545,0.215800,0.000000,0.000000,0.000000,0.000000,2.649767,2.819008,0.213233,0.390206,0.000000
25, 17548, 2.927855, 2.500627, 2.146210, 0.000000, 0.396626,0.174884,0.184391,0.000000,0.000000,0.000000,0.000000,2.666916,2.845993,0.206079,0.415485,0.000000
26, 16543, 3.005199, 2.499003, 2.100944, 0.000000, 0.431361,0.153935,0.165437,0.000000,0.000000,0.000000,0.000000,2.679343,2.873545,0.212668,0.425342,0.000000
27, 14989, 3.012543, 2.498632, 2.013871, 0.000000, 0.471412,0.131544,0.141395,0.000000,0.000000,0.000000,0.000000,2.686496,2.898180,0.215070,0.436028,0.000000
28, 12730, 3.039984, 2.492302, 1.978550, 0.000000, 0.489002,0.125729,0.122263,0.000000,0.000000,0.000000,0.000000,2.688457,2.925296,0.224008,0.439084,0.000000
29, 10538, 3.056178, 2.497912, 1.950741, 0.000000, 0.506263,0.108692,0.131638,0.000000,0.000000,0.000000,0.000000,2.685661,2.953950,0.220644,0.453109,0.000000
30, 8529, 3.062493, 2.489975, 1.924146, 0.000000, 0.521749,0.098751,0.119715,0.000000,0.000000,0.000000,0.000000,2.672653,2.993240,0.239669,0.444986,0.000000
31, 6751, 3.063694, 2.498889, 1.911358, 0.000000, 0.539476,0.101866,0.113251,0.000000,0.000000,0.000000,0.000000,2.649273,3.011007,0.244597,0.437836,0.000000
32, 5171, 3.049894, 2.507059, 1.913727, 0.000000, 0.541095,0.093272,0.110809,0.000000,0.000000,0.000000,0.000000,2.632877,3.054179,0.253319,0.440228,0.000000
33, 3965, 3.071375, 2.510214, 1.912673, 0.000000, 0.555107,0.097072,0.091960,0.000000,0.000000,0.000000,0.000000,2.622823,3.066758,0.251084,0.443532,0.000000
34, 3045, 3.012479, 2.505090, 1.889905, 0.000000, 0.562890,0.094124,0.110304,0.000000,0.000000,0.000000,0.000000,2.605172,3.096288,0.262704,0.436898,0.000000
35, 2303, 3.023882, 2.498914, 1.893683, 0.000000, 0.577942,0.075887,0.105161,0.000000,0.000000,0.000000,0.000000,2.597184,3.032281,0.263018,0.406929,0.000000
36, 1771, 2.926595, 2.504235, 2.591945, 0.000000, 0.335968,0.482767,0.477609,0.000000,0.000000,0.000000,0.000000,2.569885,3.006488,0.224551,0.423585,0.000000
37, 1968, 2.489329, 2.495427, 2.855711, 0.000000, 0.299797,0.542888,0.553352,0.000000,0.000000,0.000000,0.000000,2.601638,2.981457,0.236980,0.413819,0.000000
38, 2399, 2.327637, 2.508128, 2.754300, 0.000000, 0.317216,0.358011,0.368888,0.000000,0.000000,0.000000,0.000000,2.630387,2.970189,0.201078,0.456772,0.000000
39, 2826, 2.399858, 2.503892, 2.802346, 0.000000, 0.249469,0.382931,0.398220,0.000000,0.000000,0.000000,0.000000,2.661193,2.948604,0.230865,0.430701,0.000000
40, 3542, 2.535008, 2.508470, 2.770552, 0.000000, 0.231790,0.395184,0.396940,0.000000,0.000000,0.000000,0.000000,2.665376,2.967501,0.227887,0.443179,0.000000
41, 4458, 2.693136, 2.506505, 2.683291, 0.000000, 0.333333,0.353137,0.377324,0.000000,0.000000,0.000000,0.000000,2.697392,2.955622,0.230005,0.449234,0.000000
42, 5079, 2.526285, 2.501870, 2.629096, 0.000000, 0.310100,0.376081,0.371874,0.000000,0.000000,0.000000,0.000000,2.687292,2.961626,0.223152,0.454423,0.000000
43, 5892, 2.534284, 2.504582, 2.658397, 0.000000, 0.288357,0.361983,0.371513,0.000000,0.000000,0.000000,0.000000,2.693123,2.954749,0.231334,0.445796,0.000000
44, 7011, 2.601055, 2.500784, 2.595283, 0.000000, 0.326630,0.335688,0.328362,0.000000,0.000000,0.000000,0.000000,2.712763,2.964892,0.242220,0.447122,0.000000
45, 7878, 2.633536, 2.496446, 2.581771, 0.000000, 0.337649,0.301636,0.327489,0.000000,0.000000,0.000000,0.000000,2.721246,2.953137,0.254007,0.433972,0.000000
46, 8767, 2.649367, 2.494354, 2.550715, 0.000000, 0.349949,0.295199,0.316591,0.000000,0.000000,0.000000,0.000000,2.717120,2.948777,0.256153,0.428344,0.000000
47, 9590, 2.671011, 2.490615, 2.523486, 0.000000, 0.366215,0.296508,0.284126,0.000000,0.000000,0.000000,0.000000,2.714815,2.952414,0.270907,0.414169,0.000000
48, 10295, 2.673725, 2.498980, 2.477104, 0.000000, 0.383973,0.267767,0.275207,0.000000,0.000000,0.000000,0.000000,2.711108,2.936169,0.264345,0.412513,0.000000
49, 10780, 2.683302, 2.499814, 2.449650, 0.000000, 0.389703,0.273331,0.246515,0.000000,0.000000,0.000000,0.000000,2.686640,2.921459,0.263479,0.397313,0.000000
50, 11187, 2.706087, 2.492268, 2.402999, 0.000000, 0.404309,0.257547,0.223944,0.000000,0.000000,0.000000,0.000000,2.694562,2.908296,0.267133,0.391472,0.000000
51, 11339, 2.734104, 2.493165, 2.364656, 0.000000, 0.418467,0.241030,0.213998,0.000000,0.000000,0.000000,0.000000,2.694266,2.890490,0.255519,0.395604,0.000000
52, 11266, 2.743032, 2.498935, 2.294954, 0.000000, 0.439996,0.210173,0.194410,0.000000,0.000000,0.000000,0.000000,2.705093,2.870346,0.247273,0.399960,0.000000
53, 10776, 2.782016, 2.494803, 2.242154, 0.000000, 0.457405,0.186826,0.168645,0.000000,0.000000,0.000000,0.000000,2.686908,2.854353,0.248843,0.384370,0.000000
54, 10029, 2.827301, 2.499352, 2.884904, 0.000000, 0.253864,0.448877,0.568940,0.000000,0.000000,0.000000,0.000000,2.700455,2.823622,0.250781,0.375294,0.000000
55, 12287, 2.549198, 2.498983, 2.752067, 0.000000, 0.300236,0.388518,0.465120,0.000000,0.000000,0.000000,0.000000,2.768667,2.901021,0.270060,0.415823,0.000000
56, 14367, 2.473446, 2.504211, 2.577535, 0.000000, 0.335213,0.266593,0.312476,0.000000,0.000000,0.000000,0.000000,2.820751,2.954506,0.269637,0.459579,0.000000
57, 15872, 2.559854, 2.503150, 2.534741, 0.000000, 0.308846,0.265556,0.304363,0.000000,0.000000,0.000000,0.000000,2.845009,2.996734,0.285966,0.470601,0.000000
58, 17735, 2.717169, 2.497547, 2.481567, 0.000000, 0.305723,0.263528,0.293199,0.000000,0.000000,0.000000,0.000000,2.887229,3.032952,0.286807,0.501951,0.000000
59, 19694, 2.878339, 2.503199, 2.309328, 0.000000, 0.417488,0.216538,0.234101,0.000000,0.000000,0.000000,0.000000,2.922362,3.063969,0.296162,0.519751,0.000000
60, 18866, 2.768207, 2.499576, 2.213907, 0.000000, 0.421393,0.194143,0.201164,0.000000,0.000000,0.000000,0.000000,2.941065,3.091561,0.305014,0.529933,0.000000
61, 17816, 2.833240, 2.493826, 2.172367, 0.000000, 0.421980,0.174946,0.155234,0.000000,0.000000,0.000000,0.000000,2.965995,3.105064,0.312081,0.538636,0.000000
62, 16697, 2.958316, 2.493981, 2.131362, 0.000000, 0.457028,0.158243,0.141857,0.000000,0.000000,0.000000,0.000000,2.980697,3.106087,0.318405,0.538749,0.000000
63, 14893, 2.996643, 2.492245, 2.048857, 0.000000, 0.500369,0.140029,0.118986,0.000000,0.000000,0.000000,0.000000,2.997680,3.124006,0.325540,0.545950,0.000000
64, 12442, 2.993088, 2.496624, 2.002649, 0.000000, 0.518486,0.132776,0.106901,0.000000,0.000000,0.000000,0.000000,3.005827,3.131197,0.331316,0.546470,0.000000
65, 10043, 3.001195, 2.495669, 1.981350, 0.000000, 0.529324,0.128054,0.094625,0.000000,0.000000,0.000000,0.000000,3.002943,3.135719,0.324799,0.553671,0.000000
66, 8030, 3.004981, 2.495392, 1.971434, 0.000000, 0.535990,0.130951,0.096998,0.000000,0.000000,0.000000,0.000000,2.994100,3.105376,0.351850,0.510531,0.000000
67, 6371, 3.006592, 2.499137, 1.919859, 0.000000, 0.562392,0.105732,0.078093,0.000000,0.000000,0.000000,0.000000,3.009571,3.096486,0.363428,0.501615,0.000000
68, 4771, 3.032907, 2.491721, 1.911070, 0.000000, 0.566338,0.094603,0.077078,0.000000,0.000000,0.000000,0.000000,3.024004,3.101476,0.350859,0.522130,0.000000
69, 3631, 3.020380, 2.493803, 1.888446, 0.000000, 0.584137,0.098573,0.081067,0.000000,0.000000,0.000000,0.000000,3.016753,3.077068,0.343260,0.516689,0.000000
70, 2705, 2.982994, 2.495009, 1.855207, 0.000000, 0.588909,0.103208,0.078783,0.000000,0.000000,0.000000,0.000000,2.982616,3.051122,0.329594,0.505700,0.000000
71, 1999, 2.981991, 2.490245, 1.859873, 0.000000, 0.607304,0.118568,0.087921,0.000000,0.000000,0.000000,0.000000,2.990779,2.999146,0.292755,0.524401,0.000000
72, 1445, 2.844983, 2.505882, 2.785125, 0.000000, 0.295502,0.455832,0.656146,0.000000,0.000000,0.000000,0.000000,2.935914,2.941376,0.299230,0.471693,0.000000
73, 1737, 2.420841, 2.494531, 2.916708, 0.000000, 0.291883,0.457179,0.632984,0.000000,0.000000,0.000000,0.000000,2.923876,2.961983,0.297684,0.476829,0.000000
74, 2200, 2.272273, 2.501364, 2.706171, 0.000000, 0.333636,0.299304,0.407535,0.000000,0.000000,0.000000,0.000000,2.904280,2.960540,0.268197,0.497679,0.000000
75, 2582, 2.365995, 2.502711, 2.844724, 0.000000, 0.248257,0.346927,0.486031,0.000000,0.000000,0.000000,0.000000,2.928442,2.961832,0.253918,0.522348,0.000000
76, 3271, 2.508713, 2.505961, 2.816523, 0.000000, 0.239376,0.355687,0.458060,0.000000,0.000000,0.000000,0.000000,2.918424,2.934963,0.243903,0.517177,0.000000
77, 4129, 2.656091, 2.500363, 2.730921, 0.000000, 0.330104,0.319742,0.432178,0.000000,0.000000,0.000000,0.000000,2.950660,2.938172,0.237956,0.537605,0.000000
78, 4697, 2.519268, 2.498403, 2.745242, 0.000000, 0.291250,0.335221,0.468914,0.000000,0.000000,0.000000,0.000000,2.963894,2.940948,0.242708,0.539410,0.000000
79, 5557, 2.536261, 2.497931, 2.723192, 0.000000, 0.299262,0.308543,0.423013,0.000000,0.000000,0.000000,0.000000,2.966520,2.943686,0.235006,0.549307,0.000000
80, 6561, 2.599909, 2.497942, 2.691984, 0.000000, 0.326170,0.282889,0.404105,0.000000,0.000000,0.000000,0.000000,2.973388,2.948790,0.237825,0.551401,0.000000
81, 7549, 2.599550, 2.497417, 2.658230, 0.237150, 0.338058,0.296118,0.385523,0.000000,0.123098,0.114052,0.000000,2.982905,2.961455,0.243257,0.555084,0.000000
82, 7585, 2.805405, 2.496902, 2.903956, 0.334643, 0.298616,0.298445,0.372031,0.000000,0.171061,0.163583,0.000000,2.968107,2.954135,0.225397,0.563851,0.000000
83, 7699, 2.956358, 2.493571, 2.990917, 0.430162, 0.306274,0.279731,0.316109,0.000000,0.216798,0.213364,0.000000,2.951915,2.940173,0.216540,0.560325,0.000000
84, 7452, 3.107890, 2.497450, 3.033181, 0.520851, 0.305958,0.237530,0.272336,0.000000,0.255780,0.265071,0.000000,2.940011,2.928765,0.200012,0.567258,0.000000
85, 7030, 3.297866, 2.496159, 3.041815, 0.597447, 0.329587,0.196913,0.247048,0.000000,0.293765,0.303682,0.000000,2.924913,2.911511,0.185225,0.568738,0.000000
86, 6269, 3.459084, 2.501834, 3.045426, 0.616914, 0.367044,0.187141,0.189316,0.000000,0.304450,0.312465,0.000000,2.907467,2.877708,0.170854,0.562022,0.000000
87, 5463, 3.434194, 2.505949, 2.982350, 0.535633, 0.386235,0.198489,0.195552,0.000000,0.262106,0.273527,0.000000,2.906906,2.798937,0.158913,0.541229,0.000000
88, 4753, 3.346728, 2.503682, 2.916098, 0.458893, 0.398906,0.221712,0.223454,0.000000,0.222949,0.235944,0.000000,2.874723,2.755669,0.165713,0.503439,0.000000
89, 4153, 3.221045, 2.487840, 2.867201, 0.380647, 0.396822,0.257740,0.205643,0.000000,0.187038,0.193609,0.000000,2.863305,2.671231,0.173183,0.456482,0.000000
90, 3717, 3.109228, 2.503632, 3.194341, 0.320379, 0.266075,0.484326,0.368581,0.000000,0.154286,0.166093,0.000000,2.873709,2.591677,0.183866,0.417255,0.000000
91, 4042, 2.829787, 2.500742, 3.089322, 0.263161, 0.267442,0.444649,0.362184,0.000000,0.124872,0.138289,0.000000,2.911765,2.633134,0.188796,0.444960,0.000000
92, 4396, 2.800728, 2.505687, 2.982067, 0.236796, 0.281165,0.347028,0.292837,0.000000,0.107671,0.129126,0.000000,2.945870,2.672942,0.165175,0.498898,0.000000
93, 4721, 2.841135, 2.499894, 2.943681, 0.210892, 0.256302,0.367755,0.291932,0.000000,0.095442,0.115449,0.000000,2.953815,2.718907,0.152739,0.533517,0.000000
94, 5299, 2.865446, 2.491980, 2.838996, 0.188836, 0.257596,0.371585,0.304987,0.000000,0.087781,0.101055,0.000000,2.959545,2.775099,0.134811,0.576929,0.000000
95, 5906, 2.932442, 2.495936, 2.735789, 0.173911, 0.317135,0.363781,0.289646,0.000000,0.080437,0.093475,0.000000,2.977222,2.832697,0.116403,0.626283,0.000000
96, 6216, 2.800676, 2.492439, 2.684249, 0.152291, 0.304376,0.355728,0.285995,0.000000,0.068155,0.084137,0.000000,2.975942,2.855861,0.075477,0.676191,0.000000
97, 6660, 2.797598, 2.494895, 2.687485, 0.135892, 0.292342,0.351255,0.289225,0.000000,0.059246,0.076645,0.000000,2.975539,2.886065,0.079718,0.684243,0.000000
98, 7242, 2.838857, 2.497791, 2.664272, 0.125563, 0.317868,0.332575,0.275924,0.000000,0.057066,0.068498,0.000000,2.982104,2.896460,0.081748,0.689180,0.000000
99, 7585, 2.867502, 2.500330, 2.631714, 0.119215, 0.337113,0.297526,0.253661,0.000000,0.052417,0.066798,0.000000,2.995542,2.902509,0.091586,0.687333,0.000000
100, 7763, 2.881360, 2.502125, 2.598113, 0.106869, 0.351282,0.275299,0.243973,0.000000,0.046894,0.059975,0.000000,3.024629,2.890290,0.096539,0.689219,0.000000
101, 7820, 2.903453, 2.501662, 2.604099, 0.101088, 0.351279,0.289288,0.234766,0.000000,0.044587,0.056500,0.000000,3.025252,2.906527,0.104935,0.687782,0.000000
102, 7919, 2.915141, 2.503473, 2.536207, 0.092720, 0.379846,0.258008,0.228141,0.000000,0.041189,0.051531,0.000000,3.029174,2.902461,0.104091,0.688537,0.000000
103, 7739, 2.905156, 2.511565, 2.496477, 0.087130, 0.393332,0.227335,0.230504,0.000000,0.038213,0.048917,0.000000,3.031463,2.902013,0.113143,0.680243,0.000000
104, 7434, 2.909874, 2.499193, 2.474793, 0.080719, 0.397767,0.228699,0.211821,0.000000,0.034858,0.045861,0.000000,3.028490,2.891738,0.126182,0.661761,0.000000
105, 7149, 2.920408, 2.506644, 2.417160, 0.075346, 0.414603,0.214728,0.192293,0.000000,0.031860,0.043486,0.000000,3.012573,2.905602,0.123323,0.663831,0.000000
106, 6690, 2.948132, 2.502990, 2.390721, 0.075529, 0.432138,0.202449,0.185997,0.000000,0.032097,0.043431,0.000000,2.996600,2.903125,0.132252,0.647362,0.000000
107, 6137, 2.938569, 2.505296, 2.379557, 0.072110, 0.434577,0.187626,0.214425,0.000000,0.029604,0.042506,0.000000,2.973489,2.889189,0.146037,0.618411,0.000000
108, 5629, 2.924143, 2.503642, 3.089103, 0.070650, 0.235033,0.526423,0.597896,0.000000,0.025452,0.045198,0.000000,2.941767,2.894495,0.146393,0.607282,0.000000
109, 7006, 2.577362, 2.491864, 2.940241, 0.063024, 0.290180,0.447901,0.469726,0.000000,0.023224,0.039800,0.000000,3.015582,2.938119,0.108447,0.693328,0.000000
110, 8344, 2.461889, 2.494847, 2.766879, 0.059934, 0.328260,0.325308,0.331579,0.000000,0.024428,0.035506,0.000000,3.053484,2.948833,0.132572,0.689133,0.000000
111, 9447, 2.526199, 2.499418, 2.777413, 0.057568, 0.286228,0.323330,0.358917,0.000000,0.024464,0.033104,0.000000,3.055929,2.966651,0.150554,0.679518,0.000000
112, 11007, 2.663396, 2.497502, 2.732637, 0.055764, 0.280367,0.316816,0.354283,0.000000,0.025441,0.030323,0.000000,3.083949,2.994892,0.154029,0.699141,0.000000
113, 12683, 2.789640, 2.496176, 2.604328, 0.052603, 0.362533,0.285573,0.314543,0.000000,0.025617,0.026986,0.000000,3.116454,3.019222,0.149193,0.727282,0.000000
114, 13241, 2.687637, 2.500340, 2.517977, 0.047523, 0.364550,0.258375,0.289406,0.000000,0.023102,0.024421,0.000000,3.138840,3.016621,0.157788,0.726770,0.000000
115, 13617, 2.739590, 2.497466, 2.474028, 0.045437, 0.365793,0.239343,0.237884,0.000000,0.021868,0.023570,0.000000,3.146442,3.033833,0.164768,0.730004,0.000000
116, 13884, 2.864592, 2.501873, 2.425583, 0.043023, 0.398588,0.215612,0.210707,0.000000,0.020711,0.022312,0.000000,3.159118,3.050215,0.174872,0.731844,0.000000
117, 13579, 2.898593, 2.506149, 2.354090, 0.040493, 0.430149,0.181924,0.206383,0.000000,0.018770,0.021723,0.000000,3.163043,3.051917,0.193351,0.715688,0.000000
